약국명,주소,전화번호
매일여는약국,"서울특별시 중랑구 망우로 346, 101동 103호 (상봉동, 한일써너스빌)",02-434-2422
매일여는약국,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 B1094호 (상암동)",02-2132-8365
매일여는약국,서울특별시 양천구 목동동로 233-1 (목동) ,02-2061-3650
매일여는온누리약국,"서울특별시 송파구 백제고분로 187, 1층 103,104호 (잠실동, 파크인수)",02-3432-0365
매일열린약국,"서울특별시 양천구 신월로 280, 1층 101호 (신정동)",02-2693-3650
메디칼건강약국,서울특별시 강서구 양천로 104 (방화동),02-2661-3337
메디칼약국,"서울특별시 관악구 은천로25길 69, 1층 (봉천동, 삼성프라자)",02-883-4227
메디칼허브약국,"서울특별시 서초구 강남대로 615, 1층 (잠원동, 금정빌딩)",02-540-5001
메디팜 수정약국,서울특별시 양천구 중앙로 276 (신정동),02-2644-3395
메디팜건강약국,서울특별시 은평구 수색로 270-1,02-372-9791
메디팜대림약국,서울특별시 성동구 행당로 87,02-2281-6377
메디팜대안약국,서울특별시 금천구 시흥대로 352,02-803-8452
메디팜미래로약국,"서울특별시 용산구 청파로47길 40, (청파동2가)",02-713-8716
메디팜신정교약국,"서울특별시 양천구 신목로 36, 102호 (신정동, 대보빌딩)",02-2649-8275
메디팜엔비약국,"서울특별시 동작구 노량진로 152, . 1층 (노량진동)",02-811-7723
메디팜은강약국,서울특별시 서초구 잠원로14길 29  (잠원동),02-593-3245
메디피아약국,"서울특별시 강남구 강남대로 242, 1층(도곡동, 크리스탈빌딩)",02-3463-1547
면목백화점약국,서울특별시 중랑구 용마산로 328 (면목동),02-2207-4636
명동하이약국,서울특별시 중구 명동7길 14  (명동1가),070-4140-8275
명보약국,"서울특별시 금천구 시흥대로 92, (시흥동)",02-803-2384
명수약국,서울특별시 금천구 시흥대로138길 13,02-854-6846
명신약국,서울특별시 금천구 탑골로 18 ,02-807-8767
명일마트종로약국,"서울특별시 강동구 고덕로 276, 지하1층 (명일동, 이마트명일점)",02-428-7845
명진팜약국,"서울특별시 강서구 마곡중앙로 161-17, 보타닉파크타워Ⅰ 110호 (마곡동)",02-6326-7353
모두약국,"서울특별시 강남구 테헤란로 지하 156, B2층 219호 (역삼동)",02-508-0429
모아약국,"서울특별시 성북구 화랑로11길 23, 1층 (하월곡동)",02-942-4534
목동제일큰약국,"서울특별시 양천구 오목로 224, 1층 (신정동)",02-2608-8922
목동행복한약국,서울특별시 양천구 목동동로 309 지하1층 (목동),02-6952-5777
목동행복한약국,"서울특별시 양천구 목동동로 309, 행복한세상 킴스클럽 지하1층 (목동)",02-6952-5777
무궁화약국,"서울특별시 노원구 한글비석로 77, 한성여객(주) (하계동)",02-971-0072
문약국,서울특별시 용산구 독서당로 67,02-793-2296
미소가득한약국,서울특별시 마포구 월드컵북로 396,02-2636-6667
미소약국,"서울특별시 동작구 국사봉1길 33, 범한빌딩 (상도동)",02-462-3364
미소약국,"서울특별시 도봉구 도봉로 678, 홈플러스데스코㈜방학점 지하2층 (방학동)",02-954-3119
미주온누리약국,"서울특별시 강서구 양천로6길 28, 상가동 108호 (방화동, 도시개발12단지아파트)",02-2665-7552
민생약국,"서울특별시 강남구 언주로125길 6, (논현동)",02-547-7903
민정약국,서울특별시 강북구 오패산로30길 41 (미아동),02-980-1244
믿음약국,서울특별시 관악구 봉천로 534 (봉천동),02-888-2104
바로약국,"서울특별시 양천구 목동동로8길 23, 메리트윈 106호 (신정동)",02-6958-8569
바른메디칼약국,"서울특별시 강동구 상암로 31, 이에스타워 1층 (암사동)",02-3426-5384
바른손약국,서울특별시 동대문구 휘경로 34 (휘경동),02-3295-4274
바른약국,"서울특별시 관악구 남부순환로 1714-1, 1층 (봉천동)",02-884-2850
박순영온누리약국,"서울특별시 송파구 마천로7길 6, 오금대림아파트 117,118호 (오금동)",02-430-3371
반석온누리약국,"서울특별시 영등포구 영등포로 33, 108호(양평동2가,비즈타워)",02-2632-9595
발산그랜드약국,서울특별시 강서구 강서로 380,02-3663-7510
밝은마음약국,"서울특별시 강남구 논현로 841, 제이비 미소빌딩 110호 (신사동)",02-6203-7770
방약국,"서울특별시 중랑구 면목로 260, 1층(면목동)",02-432-0596
방학365약국,"서울특별시 도봉구 도봉로150길 27, 1층 101-1호 (방학동)",02-6954-2213
백두약국,서울특별시 구로구 오류로8길 26 (오류동),02-2689-6576
백상약국,"서울특별시 영등포구 국제금융로6길 30, 백상빌딩 1층 103호 (여의도동)",02-780-5414
백세365약국,"서울특별시 강서구 마곡중앙로 55, 문영 퀸즈파크13 107호 (마곡동)",070-8829-0077
백세약국,"서울특별시 중랑구 신내로 82, 1층 109호 (신내동, 금강빌딩)",02-3421-7015
백온누리약국,서울특별시 광진구 면목로 174 (중곡동),02-466-4696
백운약국,서울특별시 도봉구 도봉로 468 (창동),02-906-0280
백화점약국,"서울특별시 강북구 도봉로96길 11, 1층 (번동)",02-994-1282
번동종로약국,"서울특별시 강북구 오현로34길 23-4, 104호 (번동, 현대하니타운)",02-981-2030
벚꽃약국,"서울특별시 영등포구 국제금융로 10, 서울 국제금융 센터 지하2층 (여의도동)",02-6137-5207
베네시티약국,"서울특별시 강동구 올림픽로 664, 3층 342,343호 (천호동, 대우한강베네시티)",02-420-8181
보광프라자약국,"서울특별시 용산구 보광로 35, (보광동)",02-796-5244
보룡약국,"서울특별시 노원구 동일로 1380, 상계동 국민은행 (상계동)",02-979-6000
보생사약국,"서울특별시 영등포구 영등포로 400 1층 (신길동, 신성빌딩)",02-833-2289
보은온누리약국,서울특별시 광진구 영화사로 64-1,02-444-4145
보화당약국,서울특별시 도봉구 노해로69길 15,02-995-2929
봄내약국,"서울특별시 관악구 신림동5길 31, 1층 (신림동)",02-882-8234
부부약국,서울특별시 도봉구 도봉로181길 46 (도봉동),02-954-3349
비온뒤숲속약국,"서울특별시 마포구 월드컵로 111, (망원동)",02-332-3250
비전약국,"서울특별시 광진구 동일로18길 73, 1층 (자양동)",02-464-8127
비타민약국,서울특별시 금천구 독산로50길 84,02-892-5949
비트플렉스약국,"서울특별시 성동구 왕십리광장로 17 (행당동, 비트플랙스내 2층 A05,06)",02-2200-1549
사당365약국,"서울특별시 관악구 과천대로 955, 1층 (남현동)",02-588-9050
사당건강약국,"서울특별시 동작구 남부순환로 지하2089, 사당역(2호선) 지하1층 226-113호 (사당동)",070-5001-5729
사당소화약국,"서울특별시 동작구 동작대로 7, 1층 (사당동)",02-521-3474
사당역약국,"서울특별시 동작구 동작대로 지하 3, 사당역(4호선) (사당동)",02-582-4912
사당프라자약국,"서울특별시 동작구 사당로 230-1, 1층 (사당동, 미래빌딩)",02-3474-4170
사랑약국,"서울특별시 강북구 도봉로 186, 1층 (미아동)",02-993-7289
산들약국,"서울특별시 마포구 대흥로 167, 1층 (대흥동)",02-716-0116
삼성약국,"서울특별시 강남구 광평로19길 10, 101호 (수서동, 까치마을아파트상가)",02-451-7281
삼성약국,서울특별시 관악구 신원로 21 (신림동),02-855-4158
삼성해든약국,"서울특별시 강남구 삼성로 520, 1층 (삼성동)",02-562-0361
삼익약국,"서울특별시 동대문구 회기로29길 35, 1층 (휘경동)",02-963-5490
삼정약국,"서울특별시 용산구 원효로19길 72-1, 1층 (원효로3가)",02-712-4941
삼화약국,서울특별시 금천구 은행나무로 12-1,02-803-4167
상계1번약국,"서울특별시 노원구 한글비석로20길 23-1, 1층 (중계동)",02-938-1082
상계하나로약국,서울특별시 노원구 한글비석로48길 13 (상계동),02-951-2188
상도온누리약국,서울특별시 동작구 상도로 297 (상도1동),02-812-1322
상록수약국,"서울특별시 강동구 고덕로10길 53, (암사동)",02-426-7977
상수오아시스약국,"서울특별시 마포구 독막로 63, 1층 (상수동)",02-333-7728
상아온누리약국,서울특별시 동작구 양녕로26길 22 (상도동),02-823-7931
상지온누리약국,"서울특별시 강남구 선릉로93길 8, 1층 (역삼동)",02-554-0624
새고운약국,"서울특별시 노원구 동일로 1003, 1층 (공릉동)",02-973-9286
새난곡약국,"서울특별시 관악구 난곡로 210, 2층 (신림동)",028610422
새내역약국,"서울특별시 송파구 올림픽로 지하140, 잠실새내역 217-103호 (잠실동)",02-422-5152
새대우약국,"서울특별시 성동구 용답25길 14, (용답동)",02-2245-6510
새민우약국,"서울특별시 성북구 북악산로 845, 203동 301호 (정릉동, 정릉쌍용아파트)",02-917-4275
새봄약국,"서울특별시 강북구 노해로 87, 1층 (수유동)",02-907-6200
새시장약국,"서울특별시 중랑구 망우로62길 81, (망우동)",02-436-7554
새실로암약국,서울특별시 강동구 양재대로 1619,02-427-1417
새열린약국,"서울특별시 서초구 강남대로 449-3, 보보빌딩 1층 (서초동)",02-536-3037
새우림약국,"서울특별시 중랑구 망우로62길 7, (망우동)",02-434-5614
새인선약국,서울특별시 성동구 광나루로11길 41-1  (송정동),02-466-4159
새중앙약국,"서울특별시 동작구 노량진로 202, 남강타워 1층 2호 (노량진동)",02-825-4532
새중일약국,"서울특별시 송파구 오금로 306, 101호 (가락동, 가락스타클래스)",02-448-5186
새천년온누리약국,서울특별시 동작구 상도로 69 (대방동),02-815-5051
새하늘약국,서울특별시 노원구 동일로 1308,02-971-0610
새한약국,"서울특별시 강서구 등촌로 173, 1층 (등촌동)",02-2651-1577
새휘정약국,서울특별시 강남구 학동로101길 26  (청담동),02-542-1910
샌트럴이든약국,"서울특별시 노원구 덕릉로126길 2, B101호 (상계동)",02-930-0403
샘물약국,서울특별시 노원구 노원로 43 (공릉동),02-971-2268
샘약국,서울특별시 강남구 테헤란로 322 강남구 테헤란로 322 (역삼동),025583347
샘터약국,서울특별시 서초구 서초중앙로 230  (반포동),02-591-1112
생생온누리약국,"서울특별시 강남구 논현로 842, 압구정빌딩 1층 (신사동)",070-8888-3380
서대문약국,"서울특별시 서대문구 통일로 177, 1층 (옥천동)",02-392-4932
서부새생명약국,서울특별시 은평구 역말로 72 (역촌동),02-385-3685
서울메디약국,서울특별시 강남구 역삼로 406  (대치동),02-501-5063
서초늘봄약국,서울특별시 서초구 서초대로38길 12 ,02-581-7764
서초제일약국,"서울특별시 서초구 방배로 111, 1층 (방배동, 근복빌딩)",02-583-7170
서초프라자약국,"서울특별시 서초구 방배로 88, 1층 (방배동)",02-583-4949
석산약국,서울특별시 성북구 오패산로1길 1 (하월곡동),02-912-2020
석원약국,서울특별시 강동구 강동대로53길 94 (성내동),02-484-6658
선릉역약국,"서울특별시 강남구 테헤란로 지하 340, 선릉역 지하1층 220-103호 (삼성동)",02-556-3339
선영약국,"서울특별시 성동구 마장로 187, 1층 (홍익동)",02-2294-3734
선영약국,서울특별시 강북구 노해로23길 73 (수유동),02-998-3882
설아약국,"서울특별시 강서구 마곡중앙6로 65, 지투프라자 1층 101호 (마곡동)",070-4833-3204
설약국,서울특별시 성동구 마조로1길 39(행당동),02-2294-8274
설약국,"서울특별시 동작구 노량진로 124, 1층 (노량진동)",02-825-8272
성보약국,서울특별시 관악구 남부순환로208길 10 (봉천동),02-885-4250
성북365약국,"서울특별시 성북구 동소문로46길 19, 1층 (하월곡동)",02-943-4113
성수서울숲약국,"서울특별시 성동구 왕십리로 114, 신한빌딩 103호 (성수동1가)",02-499-1164
성심온누리약국,"서울특별시 노원구 석계로 49 (월계동, 현대아파트 주상가 122호)",02-943-1651
성지옵티마약국,"서울특별시 중랑구 공릉로12가길 52, (묵동)",02-972-9890
성진약국,서울특별시 종로구 창경궁로 271-1 (혜화동),02-762-2211
세계로약국,"서울특별시 종로구 우정국로 36, 1층 (공평동)",02-737-3338
세계로약국,"서울특별시 서초구 동작대로 38, (방배동)",02-3474-2599
세계로온누리약국,"서울특별시 광진구 아차산로 219, 삼영빌딩 1층 (화양동)",02-466-0253
세곡온누리약국,"서울특별시 강남구 헌릉로569길 27, 2층 (세곡동)",070-8828-7963
세브란스약국,서울특별시 동작구 동작대로25길 39 (사당동),02-593-1551
세심약국,"서울특별시 성동구 마장로35길 76, 105-2 (마장동,현대아파트상가)",02-2282-5734
세영약국,서울특별시 광진구 뚝섬로27길 65 (자양동),02-464-3577
세원약국,"서울특별시 성북구 동소문로20가길 51 (동선동1가, 수국빌딩)",02-922-6060
세종로약국,"서울특별시 영등포구 여의대방로 197, (신길동)",02-846-0072
세화당약국,서울특별시 중랑구 중랑역로 21  (중화동),02-434-8794
셀약국,"서울특별시 마포구 양화로 72, 1층 118호 (서교동)",02-337-7959
소나무약국,서울특별시 송파구 중대로 80  (문정동),02-402-4701
소나무약국,"서울특별시 노원구 노원로 330, 롯데마트 지하1층 (중계동)",02-931-1996
소망온누리약국,서울특별시 양천구 지양로 68 (신월동),02-2699-5662
소원약국,서울특별시 강북구 도봉로 205 (미아동),02-988-0691
소화약국,"서울특별시 강남구 남부순환로363길 17, 1층 (도곡동)",02-3463-1500
소화약국,서울특별시 동작구 여의대방로24나길 2 (대방동),02-821-4551
송&김약국,"서울특별시 영등포구 도신로 88, (신길동)",02-848-6596
송도약국,"서울특별시 강북구 도봉로 343, 야산빌딩 1층 (수유동)",02-908-4270
송약국,"서울특별시 강서구 양천로 637, 104호(염창동,삼성아파트상가)",02-2659-2526
송파24약국,"서울특별시 송파구 송파대로 111, 하비오길 송파대로202동 161호 (문정동, 파크하비오)",02-400-1502
송파그랜드약국,"서울특별시 송파구 문정로4길 14, 동산빌딩 1층 (문정동)",02-426-0610
송파힘찬약국,"서울특별시 송파구 송파대로 141, 르피에드 120호 (문정동)",02-406-2007
수도약국,서울특별시 금천구 가산로3길 93,02-855-3052
수락프라자약국,서울특별시 노원구 동일로 1669 (상계동),02-935-7523
수범약국,"서울특별시 영등포구 경인로 835, (영등포동4가)",02-2678-2288
수복약국,서울특별시 용산구 새창로12길 12 (도원동),02-714-0667
수산약국,"서울특별시 동작구 노들로 674, 노량진수산물도매시장 2층 (노량진동)",02-2254-8275
수서역약국,서울특별시 강남구 광평로 지하 270 수서역 지하 1층 (수서동),02-3412-5533
수서역정민아약국,"서울특별시 강남구 광평로56길 8-13, 1층 101호 (수서동, 수서타워)",02-3412-7655
수약국,"서울특별시 강남구 선릉로69길 19  (역삼동, 역삼래미안아파트)",02-563-1601
수약국,"서울특별시 금천구 시흥대로 201, 삼성홈플러스 지하1층 (시흥동)",02-891-9991
수유온누리약국,서울특별시 강북구 도봉로 324 (번동),02-996-9777
수유프라자약국,서울특별시 강북구 덕릉로 42 (수유동) ,02-985-0071
수종로약국,"서울특별시 강북구 도봉로 61, 1층 (미아동)",02-981-8151
숙명온누리약국,"서울특별시 용산구 청파로47길 66, (청파동2가)",02-717-6415
숭인약국,"서울특별시 강북구 도봉로 59, 1층 (미아동)",02-988-7196
스마일약국,"서울특별시 강동구 고덕로 391, (고덕동)",02-442-1008
스마트온누리약국,"서울특별시 서초구 강남대로53길 7, 강남애니타워 101호 (서초동)",02-523-0365
스타약국,"서울특별시 용산구 한강대로23길 55, 용산역 3층 (한강로3가)",02-526-6406
스타약국,"서울특별시 강동구 천호대로 1087, 2층 203호 (천호동, 진넥스빌Ⅲ)",02-470-7904
스토리약국,"서울특별시 강남구 남부순환로359길 27, 1층 (도곡동)",02-6401-9002
시민당약국,서울특별시 강동구 양재대로 1479 (길동),02-476-8100
시온약국,서울특별시 용산구 독서당로 67 (한남동),02-790-7897
시온약국,서울특별시 송파구 백제고분로27길 19 (삼전동),02-417-1365
시원약국,"서울특별시 강북구 오패산로 413, 1층 (번동, 미니스톱)",02-904-1231
시장약국,서울특별시 동작구 동작대로29길 17 (사당동),02-532-6210
