약국명,주소,전화번호
365행복약국,"서울특별시 노원구 한글비석로 57, 지하1층 (하계동, 세이브존)",02-951-3456
365회기역약국,"서울특별시 동대문구 회기로 193, 1층 (휘경동)",02-6212-1494
3층건약국,"서울특별시 서초구 사임당로 143, 3층 301호 (서초동)",02-582-2220
3층메디칼약국,"서울특별시 송파구 양재대로 1222, 올림픽프라자 23-1,23호 (방이동)",02-401-7657
3층바른약국,"서울특별시 강남구 삼성로 14, 3층 311-1호 (개포동, 개포자이 프레지던스)",02-445-3414
3층엔약국,"서울특별시 성동구 동호로 102, 두산아파트 상가동 3층 302호 (금호동3가)",02-2235-0410
3층엠코약국,"서울특별시 중랑구 망우로 353 C동 309호 (상봉동, 상봉 프레미어스 엠코)",02-434-7707
3층온누리약국,"서울특별시 마포구 월드컵북로 230, 305호 (중동, 현대상가)",02-306-4743
3층중앙약국,"서울특별시 강남구 논현로28길 43, 3층 (도곡동)",02-577-2501
3층파란문약국,"서울특별시 용산구 한강대로 69, 3층 305-1호 (한강로2가, 용산푸르지오써밋)",02-796-9008
3층하나약국,서울특별시 송파구 올림픽로35길 112 장미아파트 비상가 (신천동),02-412-3358
3층한사랑약국,"서울특별시 서초구 반포대로 291, 3층 307호 &#40;반포동&#41;",02-592-5775
41약국,"서울특별시 양천구 목동동로 293, 현대41타워 1층 36호, 37호 (목동)",02-2654-7774
4층다나약국,"서울특별시 관악구 관악로 195, 4층 408호 (봉천동, 관악위버폴리스)",02-878-9529
4층드림약국,"서울특별시 관악구 신림로 350, 404호 (신림동, 서원프라자, 태영아파트)",070-7761-0424
4층현약국,"서울특별시 동대문구 천호대로 425, 4층 401호 (장안동)",02-2245-3015
537약국,"서울특별시 강남구 논현로 537, 지하1층 (역삼동)",02-555-0537
5층 하늘약국,"서울특별시 강동구 고덕로 133, 강동롯데캐슬퍼스트아파트 5층 513호 (암사동)",02-427-2949
5층사랑약국,"서울특별시 중구 서소문로 103, 배재빌딩 511호 (서소문동)",02-6933-5177
5층약국,"서울특별시 강남구 선릉로 324, SH타워 5층 (대치동)",02-508-5030
5층엔약국,"서울특별시 관악구 신림로 350, 5층 (신림동, 서원프라자, 태영아파트)",02-877-3080
5층은약국,"서울특별시 서초구 동작대로 120, 5층 (방배동)",02-537-9111
7번약국,"서울특별시 강북구 도봉로 339, 1층 (수유동)",02-904-7773
7층애약국,"서울특별시 강남구 테헤란로78길 8, 7층 일부(대치동, 현빌딩)",02-567-0409
7형제약국,"서울특별시 강동구 명일로 117, 106호 (둔촌동)",02-478-9855
8번가위드팜약국,"서울특별시 서대문구 성산로 515, 석란 1층 (대신동)",02-313-4588
8층약국,"서울특별시 서초구 서초중앙로 125, 로이어즈타워 8층 803호 (서초동)",02-582-8885
DMC온누리약국,"서울특별시 마포구 월드컵북로 361, 302호 (상암동, DMC이안상암2단지)",02-483-1457
E-삼성약국,서울특별시 강남구 일원로 53 (일원동) ,02-3412-1254
G타워약국,"서울특별시 구로구 디지털로26길 38, G-Tower 2층 208호 (구로동)",02-6077-3924
SK온누리약국,"서울특별시 강북구 솔샘로 184, 에스케이북한산시티 112~113호 (미아동)",02-983-8895
W스토어 참좋은약국,"서울특별시 성북구 동소문로 34, 1층 (동소문동3가, 연진빌딩)",02-921-1255
delight이화약국,"서울특별시 마포구 월드컵로3길 14, 220호 (합정동)",02-332-3984
i튼튼약국,"서울특별시 노원구 동일로 1059, (공릉동)",02-972-0246
the사랑약국,"서울특별시 노원구 덕릉로 662  (중계동, 주공3단지아파트)",02-933-3678
가가호호조은약국,서울특별시 송파구 토성로 16 (풍납동),02-3784-8500
가고싶은 서우약국,"서울특별시 강서구 양천로 624, 주산빌딩 103호 (등촌동)",02-3661-6288
가고싶은이화사랑약국,"서울특별시 강서구 공항대로 지하267, 발산역(5호선) 515-106호 (마곡동)",02-3663-6922
가까운동문약국,"서울특별시 성북구 고려대로17길 3, 지하1층 (안암동2가)",02-929-2111
가까운사랑약국,"서울특별시 강동구 양재대로 1576, 삼익빌딩 1층 (명일동)",02-428-4428
가까운새서울약국,"서울특별시 송파구 토성로 18, 1층, 지층 (풍납동)",02-477-8205
가까운신촌약국,"서울특별시 서대문구 연세로 40, 1~4층 (창천동)",02-362-1001
가까운약국,"서울특별시 금천구 독산로 133, 1층 (시흥동)",02-802-7779
가까운약국,"서울특별시 은평구 통일로 738, 1층 3호 (불광동)",02-356-9813
가까운약국,서울특별시 강서구 공항대로 426  (화곡동),02-2697-7796
가까운약국,서울특별시 성북구 보문로 44 (보문동7가),02-3291-5354
가까운약국,"서울특별시 관악구 양녕로 46, 112호 (봉천동, 메카플러스)",02-883-7266
가까운약국,"서울특별시 동대문구 천호대로 313 10호, 11호 (답십리동, 태영빌딩)",02-3394-4882
가까운약국,서울특별시 서대문구 모래내로 364 (홍은동),02-394-7789
가까운약국,"서울특별시 영등포구 당산로 34, 로데오 ？ 쇼핑몰 1층 (문래동3가)",02-2671-8231
가까운약국,서울특별시 중랑구 겸재로9길 53 (면목동),02-491-0388
가까운온누리약국,"서울특별시 양천구 목동서로 349, 센트럴프라자 106호 (신정동)",02-2650-8828
가까운우리약국,"서울특별시 용산구 대사관로31길 7-10, 1층 (한남동)",02-749-6011
가까운이화약국,"서울특별시 송파구 강동대로 74, 잠실올림픽아이파크상가 1층 108호, 지층 B103호 (풍납동)",02-489-4383
가까운정문약국,"서울특별시 중랑구 신내로16길 17, 101호 (신내동)",070-4402-2579
가까운중앙약국,"서울특별시 강서구 마곡중앙4로 74, 106~107호 (마곡동)",02-2662-3675
가까운천사약국,"서울특별시 강서구 공항대로36길 9, 1층 (내발산동)",02-2662-0266
가까운현대약국,서울특별시 강북구 한천로132길 28 &#40;번동&#41;,02-6405-5452
가나안 약국,"서울특별시 강북구 도봉로 256, 덕산빌딩 1층 1호 (미아동)",02-982-9995
가나안약국,"서울특별시 중랑구 봉우재로 39, (면목동)",02-434-9259
가나안약국,"서울특별시 성북구 고려대로13길 8, 1층 (안암동2가)",02-928-4545
가나약국,"서울특별시 중구 다산로 171, 1층 (신당동)",050-71353-4364
가나약국,서울특별시 은평구 서오릉로 46,02-352-5088
가든건강온누리약국,"서울특별시 송파구 충민로 52, 가든파이브웍스 S동 307호 (문정동)",070-4667-4880
가든파이브약국,서울특별시 송파구 충민로 66  (문정동),02-2157-0600
가디온누리약국,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 1층 117호 (가산동)",02-6674-5544
가락온누리약국,"서울특별시 송파구 동남로 207, (가락동)",02-400-3332
가람약국,"서울특별시 금천구 가산디지털1로 5, 대륭테크노타운 20차 107호 (가산동)",02-2225-0048
가람약국,"서울특별시 은평구 통일로 1030, 은평헤스티아 1,2층 101, 201호호 (진관동)",02-351-3200
가람약국,"서울특별시 구로구 경인로40길 12, GB빌딩 1층 (개봉동)",02-2614-7645
가람약국,"서울특별시 종로구 사직로8길 4, 301동 B127호 (사직동, 광화문 풍림스페이스본)",02-733-9303
가람약국,"서울특별시 양천구 공항대로 564, 1층 5호 (목동)",02-2658-3518
가로수길약국,서울특별시 강남구 압구정로 108 (신사동) 1층 7호,02-518-4201
가로수길천사약국,서울특별시 강남구 압구정로14길 6 (신사동),050-713-3143
가산비타민약국,"서울특별시 금천구 가산디지털2로 166, 에이스 K1타워 114호 (가산동)",050-71319-1323
가산비타민약국,"서울특별시 금천구 가산디지털2로 166, 에이스 K1타워 114호 (가산동)",02-6464-1323
가산소중한약국,"서울특별시 금천구 디지털로9길 68, 대륭포스트타워 5차 1층 106호 (가산동)",02-3281-8005
가산약국,서울특별시 금천구 가산로 116 (가산동),02-838-1158
가산행운약국,"서울특별시 금천구 디지털로10길 78, 126호 (가산동)",02-6230-5755
가야온누리약국,"서울특별시 도봉구 노해로65길 17-9, 102,103호 (창동,삼원프라자)",02-997-4540
가양누리약국,"서울특별시 강서구 허준로 198, 가양프라자 1층 104, 105호 (가양동)",02-3663-8013
가양메디약국,"서울특별시 강서구 양천로 490, 1층 101호 (등촌동)",02-6952-8866
가양메디칼온누리약국,서울특별시 강서구 양천로57길 13,02-3661-3055
가양종로약국,서울특별시 강서구 양천로 460,02-2659-2356
가양플러스약국,"서울특별시 강서구 양천로 431, 홈플러스가양점 B2층 X3,YF호 (가양동)",050-71353-9527
가양하늘약국,"서울특별시 강서구 화곡로68길 3, 1층 105호 (등촌동)",02-3665-0130
가온약국,"서울특별시 은평구 통일로 871, 101호 (갈현동, 효민아크로뷰 C&C미술학원)",02-3157-8813
가온약국,"서울특별시 강서구 마곡중앙8로 85, 파인스퀘어Ⅱ 109호 (마곡동)",070-4794-9611
가온약국,"서울특별시 강동구 올림픽로 658, 오복빌딩 2층 (천호동)",02-473-4302
가온약국,"서울특별시 강남구 학동로 413, 청담빌딩 2층 (청담동)",02-545-0546
가온약국,"서울특별시 서초구 강남대로 465, 교보타워 B동 지상1층 (서초동)",02-533-1884
가온온누리약국,"서울특별시 양천구 목동동로 293, 현대41타워 1층 38호 (목동)",02-2061-1119
가원약국,"서울특별시 광진구 천호대로 575, 1층 (중곡동)",02-457-7156
가은약국,서울특별시 관악구 봉천로 486 (봉천동),02-878-9669
가장빠른천사약국,서울특별시 송파구 강동대로 74 잠실올림픽아이파크 상가 1층 103호 (풍납동),02-483-8875
가장친절한정문앞중앙약국,"서울특별시 송파구 강동대로 74, 잠실 올림픽공원 아이파크 상가동 105,106,107,204호,204-1호 일부호 (풍납동)",02-484-2888
가장큰이대약국,"서울특별시 강서구 공항대로 248, 111~113, 206호 (마곡동)",02-2662-8279
가장큰태평양약국,서울특별시 용산구 대사관로 52  (한남동),02-790-3376
가장큰현대아산약국,"서울특별시 송파구 강동대로 67, 1층 (풍납동)",02-488-4214
가장편한대영약국,"서울특별시 송파구 강동대로 74, 108동 101,102,지하102호 (풍납동)",02-485-5000
가정약국,"서울특별시 양천구 목동중앙본로 128-2, 1층 (목동)",02-2648-5110
가족사랑약국,서울특별시 강북구 오패산로52길 39 (미아동),02-945-3720
가좌진약국,서울특별시 서대문구 모래내로 137 1층 (남가좌동),02-372-7749
가톨릭정문약국,"서울특별시 은평구 통일로 1031, 1층 102호 (진관동)",02-389-9846
감람약국,"서울특별시 송파구 문정로13길 11-10, 1층 (가락동)",02-443-7173
감마약국,"서울특별시 강남구 압구정로 336, 101호 (신사동)",02-547-8990
감초당약국,서울특별시 송파구 백제고분로41길 11  (송파동),02-412-0306
감초당온누리약국,"서울특별시 동대문구 한천로 242, 1층 (전농동)",02-438-1314
감초약국,서울특별시 강서구 강서로 38,02-2602-5884
갑진약국,"서울특별시 은평구 은평터널로 16, DMC파인시티자이상가 1층 313호 (수색동)",02-307-8275
강남구청역약국,"서울특별시 강남구 학동로 지하 346, 강남구청역 B1층 111호 (삼성동)",02-511-6252
강남굿모닝약국,"서울특별시 강남구 남부순환로 2615 (도곡동, 극동스타클래스)",02-529-4155
강남드림약국,"서울특별시 서초구 강남대로 435, 주류성빌딩 1층 (서초동)",070-8841-0063
강남리더스약국,"서울특별시 강남구 헌릉로 569, 1층 105호 (세곡동)",02-3414-8001
강남메디칼약국,"서울특별시 서초구 방배로 174, 1층 (방배동, 태창빌딩)",02-594-0801
강남메디칼약국,"서울특별시 강남구 삼성로 233 (대치동, 신사빌딩)",02-568-6644
강남미소약국,"서울특별시 강남구 논현로86길 22, 1층 (역삼동)",02-555-5640
강남미약국,"서울특별시 강남구 강남대로 376, 1층 1호 (역삼동)",02-501-2105
강남백년가약국,"서울특별시 서초구 효령로 431, 서초동 청화오피스텔 102호 (서초동)",02-597-0119
강남보선약국,서울특별시 강남구 도곡로 516  (대치동),02-568-2310
강남봄약국,"서울특별시 서초구 마방로6길 8-45, 103호 (양재동)",02-557-9480
강남사랑약국,"서울특별시 서초구 남부순환로 2201, 111호 (방배동)",02-523-9775
강남새천년온누리약국,"서울특별시 강남구 도곡로 523, 1층 (대치동)",02-552-3524
강남샘약국,"서울특별시 강남구 언주로 309, 1층 (역삼동)",02-508-2333
강남성지약국,"서울특별시 서초구 강남대로 419, 파고다타워 B2층 101호 (서초동)",050-713-2968
강남세계로약국,"서울특별시 강남구 논현로 52, 남현빌딩 1층 (개포동)",02-572-2720
강남센트럴약국,"서울특별시 강남구 강남대로 406, GLASS TOWER 1층 (역삼동)",02-558-5559
강남셀리뉴약국,"서울특별시 강남구 도산대로 513, 양원빌딩 1층 101호 (청담동)",02-400-1640
강남썬약국,"서울특별시 강남구 테헤란로4길 6, 강남역 센트럴 푸르지오 시티 1층 118호 (역삼동)",02-567-7637
강남씨티약국,"서울특별시 강남구 강남대로 416, 1층 (역삼동, 창림빌딩)",02-553-1608
강남약국,서울특별시 강동구 양재대로 1355 (성내동),02-486-7823
강남약국,"서울특별시 서초구 강남대로 463, 지하1층 102호 (서초동, 리젠타워)",070-7755-2030
강남엘약국,"서울특별시 서초구 서초대로77길 9, 강남 누드죤빌딩 104호 (서초동)",02-533-7737
강남역 2번출구 약국,"서울특별시 강남구 강남대로 388, 강남센타빌딩 지하 2층 2호 (역삼동)",02-565-5490
강남역스타약국,"서울특별시 강남구 테헤란로4길 6, 지하1층 b106호 (역삼동)",02-6326-8908
강남온누리약국,"서울특별시 강남구 선릉로 406, 102호 (대치동)",02-566-6480
강남온누리약국,"서울특별시 강남구 선릉로 406, 102호 (대치동)",050-71351-6480
강남웰약국,서울특별시 강남구 강남대로 432 1층 (역삼동),02-6440-5656
강남정성약국,"서울특별시 강남구 언주로 639, 1층 (논현동)",02-3446-9720
강남제일온누리약국,서울특별시 강남구 테헤란로 139,02-555-7790
강남조은약국,"서울특별시 강남구 남부순환로361길 6, 105호 (도곡동)",02-571-9515
강남태평양약국,"서울특별시 강남구 선릉로 309, SJ빌딩 1층 (역삼동)",02-555-2017
강남프라자약국,"서울특별시 강남구 학동로 323 (논현동, 한미빌딩)",02-514-4222
강남허브약국,서울특별시 강남구 학동로 342,02-3014-9272
강남호랑이한약국,"서울특별시 서초구 강남대로55길 9-13, J타워 4층 (서초동)",02-585-5262
강동더본약국,"서울특별시 강동구 양재대로 1465, 마루홈타운 107호 (길동)",02-477-8280
강동메디온약국,"서울특별시 강동구 양재대로 1461, SC MEDI TOWER 1층 (길동)",02-475-0067
강동메디칼약국,"서울특별시 강동구 올림픽로 686, 1층 (천호동)",02-483-0108
강동미래약국,서울특별시 강동구 올림픽로 782,02-442-6263
강동새경희약국,"서울특별시 강동구 동남로73길 13, 1층 (명일동)",02-3428-0100
강동성실약국,"서울특별시 강동구 진황도로 81, 강동투웨니퍼스트 1층 101호 (길동)",02-478-7001
강동소망약국,"서울특별시 강동구 천호대로 1111, 1층 (길동, 정우빌딩)",02-487-6464
강동솔약국,"서울특별시 강동구 양재대로 1473, 희헌타워 1층 (길동)",02-474-2696
강동온누리약국,"서울특별시 강동구 양재대로 1570, 미래빌딩 1층 (명일동)",02-2135-7572
강동우리약국,"서울특별시 강동구 천호대로173길 12, EY빌딩 (길동)",02-479-1150
강동원약국,"서울특별시 강동구 동남로 891, 103호 (명일동)",02-6081-0101
강동웰빙약국,"서울특별시 강동구 천호대로 1124, 1층 (성내동)",02-473-4959
강동이레약국,"서울특별시 강동구 양재대로103길 5, 1층 (성내동)",02-489-2585
강동천사약국,"서울특별시 강동구 올림픽로 806, 1층 104호 (암사동, 까사팔공육)",02-2359-3974
강동태평양약국,서울특별시 강동구 양재대로 1343 (성내동),02-473-3377
강동프라자약국,"서울특별시 강동구 올림픽로 624, 강동메디컬센터 1층 (성내동)",02-470-0203
강동한우리약국,서울특별시 강동구 올림픽로 778,02-481-3237
강변그랜드약국,"서울특별시 광진구 광나루로56길 63, 123호,135호,136호 (구의동, 프라임프라자상가)",02-447-4842
강북김약국,"서울특별시 강북구 도봉로49길 8, 1층 (미아동)",02-980-1717
강북다모아약국,서울특별시 강북구 도봉로 79 (미아동),02-945-2088
강북메디칼약국,서울특별시 강북구 도봉로 190 (미아동),02-981-9512
강북열린약국,"서울특별시 동대문구 전농로 110, 1층 (답십리동)",02-2248-5023
강북우리약국,"서울특별시 강북구 한천로 1081, 1층 (수유동)",02-900-8345
강북제일약국,"서울특별시 강북구 도봉로37길 7, 1층 (미아동)",02-985-3116
강빛약국,"서울특별시 강동구 아리수로93나길 26, 성산타워 109,110호 (강일동)",02-6949-5111
강서메디칼약국,"서울특별시 강서구 까치산로4길 3, 1층 (화곡동)",02-2602-4567
강서보건약국,"서울특별시 강서구 양천로30길 123-28, 1층 (마곡동)",02-2058-7501
강서약국,"서울특별시 강서구 등촌로 75, 지덕빌딩 102호 (등촌동)",02-2644-2154
강서연세약국,"서울특별시 강서구 화곡로 346, 103호 (화곡동,귀뚜라미홈시스텔)",02-2606-1531
강서자연애약국,"서울특별시 강서구 강서로 43, 도양라비앙타워 L층 B101호 (화곡동)",02-2698-5763
강서자이온누리약국,"서울특별시 강서구 양천로 401, 109-2호 (가양동, 강서한강자이타워A동)",02-2638-5233
강서종로약국,서울특별시 강서구 강서로 257  (내발산동),02-2606-8268
강서홈약국,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 1층 (등촌동)",02-2659-1823
강약국,"서울특별시 동작구 서달로 158 (흑석동, 명수대상가104호)",02-816-8766
강약국,서울특별시 강동구 올림픽로80길 43,02-477-0940
강원약국,서울특별시 관악구 대학길 36 (신림동),02-874-4575
강일수약국,"서울특별시 강동구 아리수로93나길 54, 경서프라자 103호 (강일동)",02-428-4070
강일역1번출구약국,"서울특별시 강동구 고덕로 433, 1층 (강일동)",02-3427-2225
강일윤약국,"서울특별시 강동구 아리수로93나길 60, 골드프라자 109호 (강일동)",02-3427-2081
개나리봄약국,"서울특별시 강남구 역삼로 310, 한솔필리아 2층 26호 (역삼동)",02-501-8284
개롱약국,"서울특별시 송파구 오금로 396, 1층 114호 (가락동, 에스케이허브파크)",02-407-4609
개미약국,서울특별시 성북구 장월로 128 (장위동),02-915-7770
개봉지예당약국,서울특별시 구로구 고척로 123-1 (개봉동),02-2681-0292
개봉현대약국,"서울특별시 구로구 개봉로20길 6, 현대아파트1단지 상가2동 207호 (개봉동, 현대아파트1단지)",02-6264-4438
개성약국,"서울특별시 구로구 경인로 176, 308호 (오류동, 시티월드)",02-2615-1862
개포메디칼약국,"서울특별시 강남구 개포로 303, 202호 (개포동, 현대1차아파트)",02-574-5410
개포서울약국,"서울특별시 강남구 삼성로 14, 1층 105호 (개포동, 개포자이 프레지던스)",02-451-7828
개포이화약국,"서울특별시 강남구 영동대로 22, S401동 0412호 (일원동, 디에이치 자이 개포)",02-459-7320
개포이화약국,"서울특별시 강남구 영동대로 22, S401동 0412호 (일원동, 디에이치 자이 개포)",02-459-7320
개포종로온누리약국,"서울특별시 강남구 선릉로 42, 1층 (개포동)",02-575-2485
개포플러스약국,"서울특별시 강남구 선릉로 30, 개포빌딩 1층 (개포동)",02-579-2570
개화약국,서울특별시 강서구 양천로 31,02-2662-8028
갤러리아온누리약국,서울특별시 강남구 선릉로 843 107호,02-517-0129
갤러리약국,"서울특별시 송파구 올림픽로 212 (잠실동, 갤러리아팰리스)",02-412-8579
갤러리약국,서울특별시 강남구 학동로20길 55 106호,02-6227-5578
거북당약국,서울특별시 서대문구 응암로 53,02-372-0744
거여서울약국,"서울특별시 송파구 오금로 505 (거여동, 101호)",02-2043-3800
거평원온누리약국,"서울특별시 강남구 봉은사로 129, 지하1층 (논현동, 거평타운)",02-544-4567
건강과행복이열리는약국,"서울특별시 노원구 한글비석로 242, 113호, 114호 (중계동, 삼부프라자)",02-933-9696
건강과행복이열리는중앙메디칼약국,"서울특별시 동작구 흑석로 106-5, 1층 (흑석동)",02-811-1700
건강밝은약국,"서울특별시 은평구 연서로 216, (대조동)",02-388-4253
건강비타민약국,서울특별시 강북구 솔매로 59 (미아동),02-984-4777
건강샘약국,"서울특별시 송파구 백제고분로 275, 1층 (석촌동)",070-8872-6902
건강샘온누리약국,"서울특별시 노원구 동일로243길 33, 1층 (상계동)",02-931-5688
건강샘온누리약국,"서울특별시 강서구  까치산로  73, 1층 (화곡동)",02-2062-0155
건강샘온누리약국,"서울특별시 구로구 경인로 661, 신도림1차푸르지오 2층 219호 (신도림동)",02-3439-8373
건강약국,서울특별시 성북구 동소문로 71 (동소문동6가),02-935-7971
건강약국,"서울특별시 동대문구 왕산로 176, 2층 (전농동)",02-2282-4830
건강약국,서울특별시 관악구 남부순환로 1539 (신림동),02-855-2883
건강약국,"서울특별시 마포구 방울내로 70, (망원동)",02-333-2090
건강약국,서울특별시 영등포구 당산로 166  (당산동4가),02-2631-6396
건강약국,"서울특별시 강동구 동남로49길 21-11, 1,2층 (둔촌동)",02-478-4515
건강약국,"서울특별시 종로구 혜화로 2, 1층 (혜화동)",02-764-9918
건강약국,"서울특별시 서대문구 가재울로6길 53-61, 1층 (남가좌동)",02-373-4439
건강약국,"서울특별시 중랑구 신내로 135, 신내9단지아파트 제상가1동 1층 117호 (신내동)",02-3421-7582
건강약국,"서울특별시 노원구 화랑로 463, (공릉동)",02-978-7597
건강약국,서울특별시 동작구 만양로 5 (상도동),02-3280-2828
건강약국,"서울특별시 송파구 백제고분로 162, 대양빌딩 1층 103호 (잠실동)",02-424-3223
건강약국,서울특별시 양천구 곰달래로5길 30,02-2697-0485
건강약국,"서울특별시 도봉구 도당로 109, 방학동상가주택 1층 102호 (방학동)",02-3492-3588
건강온누리약국,서울특별시 강서구 곰달래로 271 (화곡동),02-2642-0012
건강온누리약국,서울특별시 동작구 상도로 202 (상도동),02-815-1120
건강온누리약국,서울특별시 양천구 오목로 350,02-2645-5538
건강온누리약국,서울특별시 강남구 삼성로 212,02-562-1377
