기사제목,기사내용,분류
27일이면 ‘갈빗집 선언’ 1년…이준석 “진정성과 열정으로 승부를 봤다”,https://v.daum.net/v/20241226104046452, 정치
또다시 탄핵정국…‘국회의장’ 우원식 판단에 달렸다 [이런정치],https://v.daum.net/v/20241226104029444, 정치
尹은 헌정질서 흔들고 李는 국정 무력화… ‘민주주의 회복력’ 가물가물[Deep Read],https://v.daum.net/v/20241226100307843, 정치
"""제왕적 대통령제 끝낼 개헌 논의할 때…강성 팬덤정치 폐해 직시해야"" [월간중앙]",https://v.daum.net/v/20241226093027564, 정치
"계엄 4주만에 대국민사과 나선 與…천막치고 무릎도 꿇어봤다, 이번엔?",https://v.daum.net/v/20241226092832495, 정치
'노상원 수첩'에 담긴 계엄 진실 밝혀지나[양낙규의 Defence Club],https://v.daum.net/v/20241226092226259, 정치
‘평균 3선’ 민주 내란 국조특위…국힘 “우리 중진은 뭐하는지”,https://v.daum.net/v/20241226090501646, 정치
"""병력 부족에 여성 단기복무병 검토 필요""…대만 사례 살펴보니",https://v.daum.net/v/20241226084103995, 정치
"""尹내란·공범"" 언급 의원 징계안 낸 서울시의회 국힘…""근거 없이 단정 말라""",https://v.daum.net/v/20241226083212842, 정치
"""한반도 전쟁 획책, 내란주범 4명 외환죄 고발""",https://v.daum.net/v/20241226104201506, 정치
"韓대행, 野탄핵 추진에 불응하나…""정족수 논란 복잡""",https://v.daum.net/v/20241226104109472, 정치
또다시 탄핵정국…‘국회의장’ 우원식 판단에 달렸다 [이런정치],https://v.daum.net/v/20241226104029444, 정치
"""용산 이무기가 지X발광""…비상계엄 비판 '시국미사'에 발칵",https://v.daum.net/v/20241226103607240, 정치
"尹탄핵심판 첫 기일 'D-1'…헌재, 오늘 6인 체제 재판관회의(종합)",https://v.daum.net/v/20241226103143039, 정치
우리가 그랬었나?…트럼프에 기부 끊겠다던 기업들 앞다퉈 기부,https://v.daum.net/v/20241226104001415, 국제
"트럼프 취임 목전인데…""한국 대응은 마비 상태""",https://v.daum.net/v/20241226102853897, 국제
"日언론 “中·日, 트럼프 불확실성에 관계개선 급속 강화”",https://v.daum.net/v/20241226102400700, 국제
"트럼프 불확실성에…""중국, 일본과 관계 개선 급속도로 강화""",https://v.daum.net/v/20241226101957496, 국제
카자흐서 추락 아제르 여객기 블랙박스 수거…26일 ‘국가애도의 날’,https://v.daum.net/v/20241226093034567, 국제
"트럼프, 석유·천연가스 전면 개발로 에너지 패권 강화 나선다",https://v.daum.net/v/20241226090124509, 국제
"살인죄로 20년형 받고 잠적한 수리남 전 대통령, 79세로 사망",https://v.daum.net/v/20241226085231246, 국제
전 세계 막강한 영향력 가진 머스크의 인맥들,https://v.daum.net/v/20241226082524728, 국제
"[기후환경 리포트] 일본 쌀 가격 계속 폭등, '강 건너 불 아니다' 경고",https://v.daum.net/v/20241226074612037, 국제
"“여성국극, 인형극에서 역사·고전 비틀기까지”
17회 창작산실의 새해가 시작된다",https://v.daum.net/v/20241226103920389, 문화
'경상공룡 발자국'이라는 새이름 붙여진 화석,https://v.daum.net/v/20241226102710839, 문화
해인사 영산회상도 등 2건 '국보' 지정…나전국화넝쿨무늬상자 등 5건은 '보물',https://v.daum.net/v/20241226102520757, 문화
사회언어학의 태두 윌리엄 러보브 97세로 별세,https://v.daum.net/v/20241226094922285, 문화
"김인호 작가, 포토에세이 『나를 살린 풍경들』 출간",https://v.daum.net/v/20241226094502111, 문화
세종 국립박물관단지에 박물관 4곳 추가 건립…'미술품 물납제도' 개선,https://v.daum.net/v/20241226094244017, 문화
한국도 일본처럼 여친·아저씨 대여 서비스?,https://v.daum.net/v/20241226091317897, 문화
"임영웅의 ""뭐요?""와 이채연의 ""탄핵 지지"" [스프]",https://v.daum.net/v/20241226090318588, 문화
"'살찌는 체질' 되는 3가지 이유…이런 다이어트, 절대 하지 마세요! [스프]",https://v.daum.net/v/20241226090306577, 문화
[약손+] 소중한 생명의 불씨를 되살리는 ‘심장이식’과 ‘인공심장’ ②심장의 구조와 기능,https://v.daum.net/v/20241226101023100, 생활
"[웹툰] 신데렐라가 된 냇길이, 그 결말은",https://v.daum.net/v/20241226100507905, 생활
"서울아산병원 암병원, 세계 5대 암 치료기관 선정[Weekend 헬스]",https://v.daum.net/v/20241226100020726, 생활
‘어디로’ 아닌 ‘어떻게’… 평범한 삶 속 숨은 재미를 찾다[박경일기자의 여행],https://v.daum.net/v/20241226091208864, 생활
신경과 교수가 말하는 불면증이란?,https://v.daum.net/v/20241226090130514, 생활
배우 오나라의 햇살 가득한 집,https://v.daum.net/v/20241226090103486, 생활
항저우에서 후저우까지 차(茶)와 함께 한 향긋한 여행,https://v.daum.net/v/20241226085223243, 생활
"‘하얼빈’ 1000만 영화 조짐, 안중근 여행 뜬다",https://v.daum.net/v/20241226084958182, 생활
1박 이상 국내여행에서 이용한 숙박 시설 1위는 '가족·친지집',https://v.daum.net/v/20241226084250038, 생활
낮부터 찬바람 기온 ‘뚝’…강원·제주 눈·비,https://v.daum.net/v/20241226091011800, 생활
"용인 반도체 국가산업단지 지정, 세계 최대 ‘반도체 특화 도시’ 조성",https://v.daum.net/v/20241226104014433, IT/과학
반도체법 연내 국회 통과할까...소위 안건심사 상정,https://v.daum.net/v/20241226103850351, IT/과학
당근 가입자 4000만명 넘었다... '2024 연말결산' 공개,https://v.daum.net/v/20241226103257098, IT/과학
곤충이 플라스틱 폐기물 문제 해결사…나방의 분해 효소 대량 배양,https://v.daum.net/v/20241226102952935, IT/과학
올해는 AI 혁신 확산의 해…新기술로 새해 투자 '청신호',https://v.daum.net/v/20241226101616361, IT/과학
철도硏 최우수 기술에 ‘액화수소 기반 수소기관차 핵심 기술’ 선정,https://v.daum.net/v/20241226101255203, IT/과학
[이성엽의 IT프리즘]2024년 디지털 정책의 회고와 2025년 전망,https://v.daum.net/v/20241226100716990, IT/과학
"플래티어, 코스콤 'ITSM 및 형상관리 시스템 재구축' 프로젝트 수주",https://v.daum.net/v/20241226095607546, IT/과학
내년에는 청불 게임도 민간 심의할까…게임법 개정안 연이어 발의,https://v.daum.net/v/20241226094616169, IT/과학
"공짜라더니 돌연 ""유료""…2주에 '764만원' 산후조리원, 환불 제멋대로?",https://v.daum.net/v/20241226060032852, 인물
"“내 점수는 아직 70점, 남은 30점 채우려 또 쏜다”…올림픽 최다 金 이 남자",https://v.daum.net/v/20241225204201691, 인물
"""소아마비 퇴치···인류 두 번째 질병정복 도울 것""",https://v.daum.net/v/20241225174507587, 인물
포유류 뇌 진화의 공통 변수는 '시간적 스케일'… KAIST 연구팀 규명,https://v.daum.net/v/20241225155038289, 인물
청년과 서민의 한 끼 동반자 천 원 빵 ‘더파네’,https://v.daum.net/v/20241225090116098, 인물
"멕시코 웃기는 ‘코미코레아노’… “모든 것이 소재, 코미디는 삶의 태도”",https://v.daum.net/v/20241224163851825, 인물
수지침 봉사·장애인 돕기… 따뜻한 세상 만드는 나눔[사랑합니다],https://v.daum.net/v/20241224090610218, 인물
"시부모 장례 때 ""부조금 50만원 박수!""…이 가족의 '임종 MC'",https://v.daum.net/v/20241224050132779, 인물
"""동물의 억울함 밝히려면 감정은 금물이죠""... '동물 CSI' 이현호 검사요원의 신조",https://v.daum.net/v/20241224043058535, 인물
사회언어학의 태두 윌리엄 러보브 97세로 별세,https://v.daum.net/v/20241226094922285, 인물
평생 국가·가족 위해 기도하시던… 공명정대 일깨우신 ‘큰 산’[그립습니다],https://v.daum.net/v/20241226090323593, 인물
임종 때까지 기부 ‘팥죽 할머니’… “나눔은 맛있어요”,https://v.daum.net/v/20241224113621002, 인물
‘명자 아끼꼬 쏘냐’ ‘만다라’…충무로 시나리오 거장 송길한 84세 별세,https://v.daum.net/v/20241222210839482, 인물
“열일곱 평생 뇌전증 투병에도 꽃향기 같았던 삶” [기억저장소],https://v.daum.net/v/20241222010217387, 인물
30년간 갈고닦은 제약·바이오 베테랑···“현장 목소리 귀 기울일 것” [이사람],https://v.daum.net/v/20241226073902948, 인물
